Real Estate Schedule,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Multifamily (conventional),,,,,,,,,,,,,,
,,,,,,Multifamily (Section 8 and/or LIHTC),,,,,,,,,,,,,,
,,,,,,Student Housing,,,,,,,,,,,,,,
,,,,,,Seniors,,,,,,,,,,,,,,
,,,,,,Retail,,,,,,,,,,,,,,
,,,,,,Industrial,,,,,,,,,,,,, ,
,,,,,Under Development,Office,,,,,,Fixed,,,,,,,,
,,,,,Lease-up,Land,,,,,,Variable,,,,Amortizing,,,,
,,,,,Stabilized,Other,,,,,,Other,,,,Interest Only,,,,
,Family Owned- Property Info,,,,,,,,,,Debt,,,,,,Cash Flow-hi-light are year 1 pro forma,,,
,Property Name,Address,City,State,Status,Asset Type,Units,Year Built,Current Occupancy %,Acquisition Date (yr),Lender, Loan Type,Maturity Date,Outstanding Loan Amount,Annual Debt Service,Interest Only or Amortizing Debt Service,Effective Gross Income,Total Operating Expenses,NOI  (Period Ending YTD 2021),Total DCR 
1,Cresta Bella,11035 Via Livorno,San Diego,CA,Stabilized,Multifamily (conventional),368,2010,95%,1975,PNC, Fixed ,7/28/2029," $75,000,000 "," $2,835,975 ", Interest Only ," $11,551,173 "," $3,711,011 "," $7,840,162 ", 2.76 
,,,,,,,,,,,,,,,,,,,,
2,Villas at Camino Bernardo,11203 Paseo Montanoso,San Diego,CA,Stabilized,Multifamily (conventional),344,1980s,94%,1991,NorthMarq Capital, Fixed ,1/1/2027," $45,857,464 "," $1,671,650 ", Interest Only ," $8,504,522 "," $2,736,908 "," $5,767,614 ", 3.45 
,,,,,,,,,,,Guardian,,,,,,,,,
3,The Hills Apts,15095 Via Hondonado,San Diego,CA,Stabilized,Multifamily (conventional),224,"1970s, 2000s ren.",94%,1975,PNC, Fixed ,5/1/2027," $39,000,000 "," $937,950 ", Interest Only ," $5,123,771 "," $1,729,240 "," $3,394,531 ", 3.62 
,,,,,,,,,,,,,,,,,,,,
4,River Run Village,2265 River Run Drive,San Diego,CA,Stabilized,Multifamily (conventional),192,1990s,92%,1999,Guardian, Fixed ,8/1/2023," $18,558,921 "," $1,223,196 ", Amortizing ," $4,588,820 "," $1,502,956 "," $3,085,863 ", 2.52 
,,,,,,,,,,,NorthMarq Capital,,,,,,,,,
5,Palms of Boca del Mar,5515 Pacific Blvd,Boca Raton,FL ,Stabilized,Multifamily (conventional),320,1986,94%,1995,PNC, Fixed ,2/1/2026," $37,800,000 "," $1,417,500 ", Interest Only ," $6,126,049 "," $2,410,816 "," $3,715,233 ", 2.62 
,,,,,,,,,,,,,,,,,,,,
6,Summerwind Apts,1580 Shadowridge Drive,Vista,CA,Stabilized,Multifamily (conventional),182,1980s,92%,1992,PNC, Fixed ,5/1/2027," $27,500,000 "," $661,375 ", Interest Only ," $4,295,981 "," $1,565,005 "," $2,730,976 ", 4.13 
,,,,,,,,,,,,,,,,,,,,
7,Grande Palms at Tradition,Community Parkway,St. Lucie,FL ,Under Development,Land,300,N/A,N/A,2006,N/A,,, $-   , $-   ,, $-   , $-   , $-   , - 
,,,,,,,,,,,,,,,,,,,,
8,Atlantic Palms at Tradition,Community Parkway,St. Lucie,FL ,Lease-up,Multifamily (conventional),300,2020,0%,2006,Wells Fargo Bank, Variable ,7/1/2031," $41,400,000 "," $1,526,832 ", Interest Only ," $6,538,076 "," $2,615,264 "," $3,922,812 ", 2.57 
,,,,,,,,,,,,,,,,,,,,
9,Atlantic Tradition,10297 SW Village Pkwy,St. Lucie,FL ,Stabilized,Multifamily (conventional),252,2015,95%,2011,Guardian , Fixed ,7/1/2025," $22,322,081 "," $1,314,672 ", Amortizing ," $5,355,919 "," $2,216,344 "," $3,139,575 ", 2.39 
,,,,,,,,,,,Northmark Capital,,,,,,,,,
10,1025 Kane Concourse,"1025 Kane Concourse, 215",Bay Harbor Islands,FL ,Stabilized,Retail,,"1955, 2000",100%,2000,N/A,,, $-   , $-   ,, $-   , $-   , $-   , - 
,,,,,,,,,,,,,,,,,,,,
11,Barrington Club,107000 West Sample Road,Coral Springs,FL ,Stabilized,Multifamily (conventional),145,1997,93%,1998,State Farm, Fixed ,9/1/2026," $13,840,481 "," $929,640 ", Amortizing ," $3,354,641 "," $1,404,191 "," $1,950,450 ", 2.10 
,,,,,,,,,,,Insurance Co.,,,,,,,,,
12,Village Apts,10955 Carmel Mountain Road,San Diego,CA,Under Development,Multifamily (conventional),276,2021,0%,1975,PNC, Fixed ,10/10/2031," $75,000,000 "," $2,088,000 ", Interest Only ," $8,385,000 "," $2,500,000 "," $5,885,000 ", 2.82 
,,,,,,,,,,,,,,,,,,,,
13,Oak Hills Apts,1302 Oak Hill Drive,Escondido,CA,Stabilized,Multifamily (conventional),110,1980s,92%,1993,PNC, Fixed ,5/1/2027," $12,300,000 "," $295,815 ", Interest Only ," $2,387,420 "," $1,066,209 "," $1,321,211 ", 4.47 
,,,,,,,,,,,,,,,,,,,,
14,Pacific Landing,Clinton Keith Road,Murrieta,CA,Stabilized,Multifamily (conventional),325,2016,95%,2012,PNC, Fixed ,11/9/2024," $52,219,591 "," $2,020,898 ", Interest Only ," $7,958,698 "," $3,080,561 "," $4,878,138 ", 2.41 
