Property Name,Address,City,State,Units,Acquisition Date,Amort Start Date,Maturity Date,Lender,Rate Type,N/A,Market Value,Current Balance,All-In Rate,N/A,NOI,Debt Service,N/A,DSCR,LTV
Property Name,Street Address,City,State,Units,Date Acquired,Amort Start Date,Loan Matures,Mortgage Holder,Rate Type,Ownership,Market Value,Current Debt,All In Rate,Recourse,NOI,Debt Service,Cashflow,DSCR,LTV
1660 Peachtree,1660 Peachtree Street Northwest,Atlanta,GA,355,2016,3/1/2021,2/1/2026,Freddie Mac,Fixed,24.18%,"$116,000,000 ","$52,322,496 ",$0 ,$0 ,"$3,694,287 ","$3,348,444 ","$345,833 ",1.1,45.11%
Alas Over Lowry,82 N Uinta Way,Denver,CO,300,2020,N\A,7/7/2024,KKR,Floating,29.35%,"$162,000,000 ","$88,500,000 ",$0 ,$0 ,"$4,639,849 ","$2,804,467 ","$1,380,097 ",1.65,54.63%
Allura Las Colinas,6445 Love Drive,Irving,TX,288,2016,12/1/2021,11/1/2025,Freddie Mac,Floating,31.30%,"$64,000,000 ","$34,419,023 ",$0 ,$0 ,"$1,436,981 ","$1,440,307 ","($145,928)",1,53.78%
Arbors of Anderson,4037 Mt Carmel Tobasco Rd,Cincinnati,OH,438,2021,1/1/2024,7/1/2026,Associated Bank,Floating,42.36%,"$75,700,000 ","$50,400,000 ","$13,557,600 ","$21,696,000 ","$4,690,059 ","$1,260,000 ","$3,195,386 ",3.72,66.58%
Austin Springs,2991 Austin Springs Blvd,Miamisburg,OH,204,2014,8/1/2016,7/1/2024,Freddie Mac,Fixed,27.71%,"$42,500,000 ","$29,585,438 ",$0 ,$0 ,"$2,911,769 ","$2,103,117 ","$991,916 ",1.38,69.61%
Barton Creek Villas,2716 Barton Creek Blvd,Austin ,TX,250,2016,N\A,1/9/2025,Blackstone,Floating,27.94%,"$94,500,000 ","$65,000,000 ",$0 ,$0 ,"$3,353,456 ","$1,946,960 ","$1,256,927 ",1.72,68.78%
Bayside Arbors,2729 Seville Blvd,Clearwater,FL,436,2021,N\A,3/9/2025,Blackstone,Floating,34.10%,"$136,000,000 ","$103,700,000 ",$0 ,$0 ,"$5,284,931 ","$4,107,272 ","$1,177,659 ",1.29,76.25%
CityWalk at Woodbury,10300 City Walk Dr ,Woodbury,MN,453,2019,9/1/2022,7/1/2026,Freddie Mac,Fixed,50.91%,"$167,850,000 ","$86,162,000 ",$0 ,$0 ,"$6,448,393 ","$3,986,542 ","$2,582,676 ",1.62,51.33%
Cross Creek at Victory Station,490 Fortress Blvd,Murfreesboro,TN,248,2020,2/1/2024,1/1/2029,Freddie Mac,Floating,17.25%,"$59,000,000 ","$41,428,000 ",$0 ,$0 ,"$2,671,919 ","$1,042,881 ","$1,473,462 ",2.56,70.22%
