Property Name,Address,Property Type,Units,N/A,Acquisition Date,N/A,Occupancy,NOI,Market Value,N/A,N/A,Loan Amount,N/A,Debt Service,DSCR,Lender,All-In Rate,Rate Type,Maturity Date,N/A,N/A,N/A,N/A,N/A
Property Name,Address,Property Type,Units/ Sq. Ft.,Year Built,Year Acquired,Cost,Occ. % ,NOI,Value ,Loan Amount,2nd Loan $,Total Loan,Total Equity,Debt Service,Debt Coverage,Lender,Rate,Rate Type,Due Date,% Ownership,Owned Since,Equity,Cash flow,Recourse Y/N
1804 Londonderry,"Leander, TX",SF,"1,466",1993,1993,"$150,000.00 ",100.00%,"$11,800.00 ","$325,000.00 ","$170,000.00 ",,"$170,000.00 ","$155,000.00 ","$10,673.00 ",1.11,Fay Servicing,4.75,Fixed,10/1/2050,50.00%,2016,"77,500.00",$564.00 ,N
Churchill Square Apartments,"Corpus Christi,  TX",MF,107,1984/1987,2015,"$6,100,000.00 ",95.00%,"$542,788.00 ","$10,855,760.00 ","$2,733,258.00 ","$1,235,029.00 ","$3,968,287.00 ","$6,887,473.00 ","$266,026.00 ",2.04,Fannie Mae (M&T Realty),4.5,Fixed,6/1/2025,3.41%,2015,"234,862.83","$9,438.00 ",N
Lost Creek Ranch Apartments,"Corpus Christi,  TX",MF,250,1984,2016,"$20,100,000.00 ",98.00%,"$1,741,444.00 ","$34,828,880.00 ","$9,329,624.00 ","$3,328,427.00 ","$12,658,051.00 ","$22,170,829.00 ","$797,828.00 ",2.18,Fannie Mae (M&T Realty),4.2,Fixed,8/1/2026,1.63%,2016,"360,275.97","$15,334.00 ",N
The Point On Redmond,"College Station, TX",MF,109,1968,2016,"$5,880,000.00 ",94.00%,"$504,220.00 ","$9,167,636.00 ","$5,016,743.00 ",$0.00 ,"$5,016,743.00 ","$4,150,893.00 ","$228,858.00 ",2.2,Freddie Mac - Wells Fargo,4.52,Fixed,2/1/2028,30.78%,2016,"1,277,603.36","$84,754.00 ",N
Canyon Trails,"Austin, TX",MF,182,1972,2016,"$13,100,000.00 ",92.00%,"$1,320,180.00 ","$26,403,400.00 ","$10,754,707.00 ","$2,646,953.00 ","$13,401,660.00 ","$13,001,740.00 ","$630,988.00 ",2.09,Fannie Mae - Dougherty Mortgage,4.41,Fixed,12/1/2028,3.03%,2016,"474,155.40","$20,883.00 ",N
Hunters Point,"College Station, TX",MF,112,1978,2017,"$6,850,000.00 ",92.00%,"$524,700.00 ","$9,547,163.00 ","$5,365,000.00 ",$0.00 ,"$5,365,000.00 ","$4,182,163.00 ","$260,652.00 ",2.01,Fannie Mae - Wells Fargo,4.805,Fixed,3/31/2029,26.91%,2017,"1,125,420.06","$71,055.00 ",N
Kingston  Port,"Corpus Christi,  TX",MF,176,1984,2017,"$11,200,000.00 ",95.00%,"$756,721.00 ","$15,134,420.00 ","$9,200,000.00 ",$0.00 ,"$9,200,000.00 ","$5,934,420.00 ","$568,602.00 ",1.33,Fannie Mae - Prudential,4.64,Fixed,8/1/2029,2.43%,2017,"144,206.41","$4,571.00 ",N
Campus Edge,"Huntsville, TX",MF,48,2007,2017,"$9,482,000.00 ",76.00%,"$581,880.00 ","$9,482,000.00 ","$6,713,000.00 ",$0.00 ,"$6,713,000.00 ","$2,769,000.00 ","$313,949.00 ",1.85,Fannie Mae - Wells Fargo,4.71,Fixed,11/1/2029,20.04%,2017,"554,974.06","$53,700.00 ",N
Encore at Sam Houston,"Huntsville, TX",MF,132,2007,2017,"$28,465,000.00 ",72.00%,"$1,012,000.00 ","$28,465,000.00 ","$20,775,000.00 ",$0.00 ,"$20,775,000.00 ","$7,690,000.00 ","$888,609.00 ",1.14,Fannie Mae - Prudential,4.31,Fixed,12/1/2029,15.56%,2017,"1,196,802.39","$19,203.00 ",N
