N/A,Property Name,City,State,Units,Property Type,Acquisition Date,N/A,N/A,N/A,N/A,NOI,N/A,Debt Service,DSCR,Market Value,N/A,N/A,Current Balance,Maturity Date,Rate Type,N/A,N/A,N/A,N/A,Lender,N/A
#,Property Name,City,State,Units,Property Type,Acquisiton Year,Controlling Interest,Ownership %,EGI,OPEX,NOI,Source,Debt Service, Debt Service Coverage ,Value,Notes to Value,Implied Cap Rate,Outstanding Debt (YE 2018),Maturity,Interest Rate Type,Recourse?,Management Company,Investment Type,Partner,Lender (Servicer),General Comments
1,4th + Bell,Seattle,WA,,Land,2017 / 2018,Yes,17.50%, n/a , n/a , n/a ,n/a, n/a , n/a ,"16,750,000", Acquisition price ,n/a, -   ,,n/a,n/a,n/a,Development,Jade,,
2,700 Broadway,Seattle,WA,59,Conventional,2012,Yes,5.00%,"2,138,585","767,563","1,371,022",FY 2018 Unaudited,"794,640",1.73,"29,000,000", Imputed value from 2017 recapitalization ,4.73%,"13,173,125",22-Jun,Fixed,No,SPR,Other,Prudential, CIGNA (GEMSA) ,
3,Andante,Phoenix,AZ,576,Conventional,2017,Yes,1.30%,"7,084,837","2,786,069","4,298,768",FY 2018 Unaudited,"2,297,691",1.87,"85,250,000", Acquisition price ,5.04%,"57,720,000",24-Jun,Variable,No,SPR,Fund IV,Pacific Life, Freddie Mac (CBRE) ,
4,Angeline,Seattle,WA,193,Conventional,2013,Yes,32.20%,"5,789,597","1,937,732","3,851,865",FY 2018 Unaudited,"2,305,618",1.67,"86,500,000", Appraisal / 2017 ,4.45%,"54,796,000",28-Jan,Fixed,No,SPR,Development,AIG, Freddie Mac (Key Bank) ,
5,Arbor Creek,Beaverton,OR,440,Conventional,2018,Yes,3.80%,,, -   ,,,,"84,300,000", Acquisition price ,,"62,235,000",25-Nov,Variable,No,SPR,PPM,Liberty Mutual, Freddie Mac (HFF) ,Acquired in Q4 2018
6,Arbor Heights,Tigard,OR,348,Conventional,2017,Yes,3.40%,"5,440,520","2,248,122","3,192,398",FY 2018 Unaudited,"1,976,622",1.62,"81,000,000", Acquisition price ,3.94%,"50,246,000",25-Jan,Fixed,No,SPR,Fund IV,CIGNA, Fannie Mae (CBRE) ,
7,Arches at Hidden Creek,Chandler,AZ,432,Conventional,2019,No,2.00%,,, -   ,,,,"84,000,000", Acquisition price ,,,,Fixed,No,SPR,Other,Blackstone,,Purchased on an all-cash basis; debt to be placed in December 2019
8,Arras,Bellevue,WA,279,Conventional - Lease-up,2016,Yes,3.50%, n/a , n/a , n/a ,n/a, n/a , n/a ,"97,400,000", Projected construction cost ,n/a,"58,250,000",29-Oct,Fixed,No,SPR,Development,HAL, Pacific Life ,Construction completed at the end of 2018; lease-up began in 2019
9,Artessa,Franklin,TN,250,Conventional,2016,Yes,9.00%,"4,366,570","1,813,787","2,552,783",FY 2018 Unaudited,"1,681,276",1.52,"57,500,000", Acquisition price ,4.44%,"40,445,000",27-Jan,Fixed,No,SPR,PPM,Loma Linda, Fannie Mae (PNC) ,
10,Augusta,Seattle,WA,210,Conventional,2019,Yes,7.50%,,, -   ,,,,"98,100,000", Acquisition price ,,"63,000,000",29-Dec,Fixed,No,SPR,PPM,STARS, Global Atlantic ,
11,Autumn Brook,Greensburg,PA,150,Affordable - LIHTC,2009,Yes,82.50%,"1,589,261","953,168","636,093",FY 2018 Unaudited,"282,480",2.25,"7,951,163", 8% cap ,8.00%,"3,489,801",27-Aug,Fixed,No,SPR,New Affordable,n/a, Freddie Mac (Prudential) ,
12,Baywood,Oakland,CA,77,Affordable - LIHTC,2016,No,3.30%,"1,786,166","544,680","1,241,486",FY 2018 Unaudited,"276,660",4.49,"13,664,962", Imputed acquisition price ,9.09%,"3,106,806",Dec-35,Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency ,
13,Beaumont Grand,Lakewood,WA,267,Conventional,2019,Yes,5.30%,,, -   ,,,,"46,500,000", Acquisition price ,,"31,073,000",24-Mar,Fixed,No,SPR,PPM,RGA, Freddie Mac (CBRE) ,
14,Bethlehem Tower,Santa Rosa,CA,159,Affordable - LIHTC,2016,No,0.00%,"2,519,378","1,010,131","1,509,247",FY 2018 Unaudited,"850,752",1.77,"18,416,380", Imputed acquisition price ,8.20%,"14,224,936",Oct-42,Fixed,No,John Stewart,New Affordable,Reiner, City of Santa Rosa (Union Bank / Citibank) ,
15,Bluffs at Castle Rock,Castle Rock,CO,220,Conventional,2018,Yes,1.30%,"3,705,092","1,194,546","2,510,546",FY 2018 Unaudited,"1,475,208",1.7,"50,000,000", Acquisition price ,5.02%,"37,500,000",25-Feb,Fixed,No,SPR,Fund IV,RGA, Freddie Mac (Grandbridge) ,
16,Broadleaf,Sacramento,CA,244,Conventional,2019,Yes,4.90%,,, -   ,,,,"68,450,000", Acquisition price ,,"43,400,000",24-Jul,Variable,No,SPR,PPM,Liberty Mutual, Fifth Third Bank ,
17,Brookstone at Edgewater,Puyallup,WA,147,Conventional,2019,Yes,5.30%,,, -   ,,,,"41,500,000", Acquisition price ,,"29,650,000",26-Jul,Fixed,No,SPR,PPM,Liberty Mutual, Freddie Mac (Prudential) ,
18,Buckhannon Manor,Buckhannon,WV,142,Affordable,1983,No,30.10%,"1,237,537","650,344","587,193",FY 2017 Audited,"299,808",1.96,"5,871,930", 10% cap ,10.00%,"5,339,336",Sep-50,Fixed,No,First American Management,Legacy,n/a, Capital Funding LLC ,
19,Cambridge at Hickory Hollow,Antioch,TN,360,Conventional,2019,Yes,5.00%,,, -   ,,,,"53,350,000", Acquisition price ,,"40,275,000",29-Oct,Variable,No,SPR,Other,Admiral, Freddie Mac (HFF) ,
20,Canyon Creek,Phoenix,AZ,440,Conventional,2017,Yes,1.60%,"4,158,418","2,060,199","2,098,219",FY 2018 Unaudited,"1,354,315",1.55,"53,100,000", Appraisal / 2019 ,3.95%,"38,253,000",26-Sep,Variable,No,SPR,Fund IV,Oaktree, Freddie Mac (CBRE) ,
21,"Carillon, The",Kirkland,WA,131,Conventional,2018,Yes,5.00%,"4,547,977","1,465,589","3,082,387",FY 2018 Unaudited,"1,383,208",2.23,"85,500,000", Acquisition price ,3.61%,"39,150,000",23-Oct,Variable,No,SPR,Other,Rockwood, Metlife ,
22,Casa de las Hermanitas,Los Angeles,CA,88,Affordable - LIHTC,2016,No,0.00%,"1,418,362","529,384","888,978",FY 2018 Unaudited,"295,860",3,"12,121,222", Imputed acquisition price ,7.33%,"4,520,298","Feb-40
Dec-26",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Citibank) ,"Second note is payable to the original seller, does not accrue interest, and is payable only at maturity"
23,Catherine Townhomes,Scottsdale,AZ,539,Conventional,2015,Yes,0.80%,"8,807,384","3,512,174","5,295,210",FY 2018 Unaudited,"2,254,194",2.35,"95,750,000", Acquisition price ,5.53%,"57,450,000",22-Oct,Fixed,No,SPR,Fund II,Intercontinental, Fannie Mae (CBRE) ,
24,Cedarwest,Bend,OR,121,Affordable - LIHTC,2019,Yes,5.50%,,, -   ,,,,"13,675,000", Acquisition price ,,"8,200,000",29-Sep,Fixed,No,SPR,PPM,Pacific Life, Freddie Mac (SunTrust) ,
25,Chapel Ridge of Tinker,Oklahoma City,OK,152,Affordable - LIHTC,2012,Yes,82.50%,"1,312,233","847,061","465,172",FY 2018 Unaudited,"554,664",0.84,"7,890,000", BOV / 2018 ,5.90%,"7,036,277",Jul-46,Fixed,No,SPR,New Affordable,n/a," Oklahoma County Finance Authority
(Pacific Servicing / Bancfirst) ",
