Property Name,Address,City,State,N/A,N/A,Property Type,Units,N/A,Occupancy,Acquisition Date,N/A,N/A,Lender,Rate Type,Maturity Date,Current Balance,Debt Service,N/A,N/A,N/A,NOI,DSCR,Market Value,N/A,N/A,LTV
Property Name,Address,City,State,Country,Status,"Asset 
Type",Units,"Year 
Built",Occupancy,"Year 
Acquired","Company Ownership
 Role","Ownership 
%",Lender,"Loan 
Type",Maturity," Outstanding 
Loan Amount "," Annual 
Debt Service ","I/O or 
Amort", EGI ," Operating 
Expenses "," Current 
NOI ",DSCR," Market 
Value ","Cap 
Rate"," Value 
per Unit ",LTV
06.25.21 TEST USER,1234 TeleTubby Lane,Charlotte,NC,USA,Under Development,MF (Conventional),800,1990,100.00%,1995,LP,30.00%,Wachovia,Fixed,1/1/2022,"$42,046,000.00 ","$1,912,292.08 ",Interest Only,"$606,445.00 ","$447,810.00 ","$9,500,000.00 ",4.968,"$70,004,655.00 ",13.57%,"$87,505.82 ",60.06%
220 South,123 South St,Charlotte,NC,USA,Lease-Up,Seniors,700,1991,95.00%,1991,GP,95.00%,Wells Fargo,Variable,2/1/2022,"$8,350,000.00 ","$746,939.96 ",Interest Only,"$2,152,152.00 ","$1,993,517.00 ","$980,511.00 ",1.313,"$10,250,000.00 ",9.57%,"$14,642.86 ",81.46%
320 South End,456 South St,Charlotte,NC,USA,Stabilized,Retail,250,1996,95.00%,1998,LP,96.00%,Bank of America,Variable,3/8/2031,"$6,589,635.00 ","$3,123,456.00 ",Amortizing,"$812,754.00 ","$654,119.00 ","$533,019.00 ",0.171,"$7,259,631.00 ",7.34%,"$29,038.52 ",90.77%
670 Sound Park,789 South St,Charlotte,NC,USA,Stabilized,Industrial,360,2005,63.00%,2010,LP,95.00%,PNC,Fixed,9/9/2025,"$1,598,526.00 ","$654,321.00 ",Amortizing,"$3,124,884.00 ","$2,966,249.00 ","$604,785.00 ",0.924,"$6,250,000.00 ",9.68%,"$17,361.11 ",25.58%
Ashley Village,2225 Hawkins St,Charlotte,NC,USA,Under Development,Mixed Use,951,2021,96.00%,2021,GP,90.00%,Fells Wargo,Fixed,12/12/2021,"$29,445,000.00 ","$362,589.00 ",Interest Only,"$1,110,388.00 ","$951,753.00 ","$575,049.00 ",1.586,"$37,667,320.00 ",1.53%,"$39,608.12 ",78.17%
Ashley Lake,2226 Hawkins St,Charlotte,NC,USA,Lease-Up,Personal Residence,634,2006,97.58%,2007,LP,90.00%,Ank of Bmerica,Fixed,12/12/2025,"$42,652,000.00 ","$725,698.00 ",Interest Only,"$1,011,004.00 ","$852,369.00 ","$540,000.00 ",0.744,"$86,750,000.00 ",0.62%,"$136,829.65 ",49.17%
Ashley RV Homes,2224 Hawkins St,Charlotte,NC,USA,Lease-Up,MHC,364,2010,86.57%,2016,LP,90.00%,CNP,Variable,11/16/2024,"$14,712,000.00 ","$265,896.00 ",Interest Only,"$1,109,880.00 ","$951,245.00 ","$424,979.00 ",1.598,"$75,312,237.00 ",0.56%,"$206,901.75 ",19.53%
Broads Street,6969 Broad Street,Charlotte,NC,USA,Lease-Up,RV,489,2015,95.77%,2018,GP,100.00%,Wachovia,Other,10/6/2025,"$86,000,000.00 ","$716,454.21 ",Interest Only,"$528,376.00 ","$369,741.00 ","$2,500,000.00 ",3.489,"$95,000,000.00 ",2.63%,"$194,274.03 ",90.53%
Castaway Apartments,1000 S Ocean Drive,Charlotte,NC,USA,Stabilized,Residental Rental,800,2003,96.57%,2006,LP,98.00%,Bank of America,Variable,3/16/2023,"$9,853,675.00 ","$787,585.76 ",Amortizing,"$527,782.00 ","$369,147.00 ","$1,115,000.00 ",1.416,"$18,000,000.00 ",6.19%,"$22,500.00 ",54.74%
