N/A,N/A,N/A,Property Name,N/A,Market Value,Loan Amount,Current Balance,N/A,LTV,Acquisition Date,N/A,Maturity Date,N/A,N/A,All-In Rate,Rate Type,N/A,Lender,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOI,DSCR
blank,Blocker,Column1,Property,Name in Valuation file,Valuation Dec-2020,Original Balance,Balance as of *,% Total,LTV,Origination Date,First Installment Due Date,Maturity Date,"Maturity
Year",Term Months,Rate,Structure,Interest Only,Lender,Maturity Principle,Within 1 year,2 years,3 years,4 years,5 years,After 5 years,Total, Within 1 year, 2 years, 3 years, 4 years, 5 years, After 5 years, Total,2020 P&I ADS,12/31/2020 NOI (Per Collier's Valuation),Debt Service Coverage Ratio
Mission Palms Apartment Homes,Southwest,Mission Palms Apartment Homes,Mission Palms,Mission Palms - Apartment Homes,"50,000,000","31,206,000","31,206,000",5.69%,62.41%,7-Sep-17,1-Sep-17,1-Feb-28,2028,124,4.24%,Fixed,120,Fannie,,"1,340,850","1,340,850","1,340,850","896,349",0,0,"4,918,900",0,0,0,"31,206,000",0,0,"31,206,000","1,340,850","2,629,890",1.96x
,Ariston,Altitude On Fifth,Altitude on 5th (Northgate),Altitude on Fifth,"45,830,000","27,680,000","26,249,313",4.79%,57.28%,5-Dec-14,1-Feb-15,1-Jan-25,2025,120,4.00%,Fixed,36,Fannie,#N/A,"1,054,718","1,032,776","1,009,927","988,939","82,641",0,"4,169,001","531,064","553,007","575,856","596,843","23,992,542",0,"26,249,313","1,585,783","2,412,437",1.52x
Altitude on Fifth,Midwest,Rolling Hills Apartments,Rolling Hills ,Rolling Hills Apartments,"40,800,000","24,115,000","24,115,000",4.40%,59.11%,14-Jul-17,1-Sep-17,1-Aug-27,2027,120,3.73%,Fixed,120,Fannie,#N/A,"911,982","911,982","911,982","914,481","911,982","1,519,138","6,081,548",0,0,0,0,0,"24,115,000","24,115,000","911,982","2,550,221",2.80x
,Southwest,Lynnfield Place,Lynnfield Place,Lynnfield Place,"37,900,000","22,457,000","22,457,000",4.10%,59.25%,13-Aug-19,1-Oct-19,1-Sep-29,2029,120,3.50%,Fixed,120,Fannie,"22,457,000","796,912","796,912","796,912","799,095","796,912","2,991,148","6,977,889",0,0,0,0,0,"22,457,000","22,457,000","796,912","2,373,370",2.98x
Lynnfield,Daytona,Breckinridge Square,Breckinridge*,,"34,300,000","22,295,000","22,295,000",4.07%,65.00%,18-Dec-20,1-Feb-21,1-Jan-30,2030,108,2.36%,Fixed & Floating,120,Freddie,"22,295,000","486,581","533,089","542,860","564,148","586,045","2,562,520","5,275,242",0,0,0,0,0,"22,295,000","22,295,000","486,581","1,715,838",3.53x
Wood Hollow Apartments,Dallas,Wood Hollow Apartments,Wood Hollow,Wood Hollow Apartments,"34,100,000","18,655,000","18,655,000",3.40%,54.71%,24-Feb-17,1-Apr-17,1-Mar-24,2024,84,4.47%,Fixed,84,Freddie,"18,655,000","845,460","845,460","845,460","210,786",0,0,"2,747,166",0,0,0,"18,655,000",0,0,"18,655,000","845,460","1,794,540",2.12x
Kings Quarters,Pensacola,The Kings Apartments,Kings Quarters,The Kings Apartments,"32,000,000","20,800,000","20,800,000",3.79%,65.00%,19-Sep-19,1-Nov-19,1-Oct-29,2029,120,3.19%,Fixed,120,Fannie,"20,800,000","672,736","672,736","672,736","674,579","672,736","2,580,356","5,945,876",0,0,0,0,0,"20,800,000","20,800,000","672,736","1,918,228",2.85x
Eastwood Crossings,Midwest,Mayfield Apartments,Village at Mayfield,Mayfield Apartments,"31,700,000","15,000,000","15,000,000",2.74%,47.32%,1-Feb-17,1-Mar-17,1-Feb-27,2027,120,3.51%,Fixed,120,Life Co,"2,600,000","526,500","526,500","526,500","526,500","526,500","614,250","3,246,750",0,0,0,0,0,"15,000,000","15,000,000","526,500","2,136,764",4.06x
Mayfield,Southwest,Avenue 8 Apartments,Avenue 8,Avenue 8 Apartments,"31,300,000","18,562,000","18,562,000",3.39%,59.30%,7-Sep-17,1-Nov-17,1-Oct-24,2024,84,4.03%,Fixed,120,Fannie,"18,562,000","758,418","758,418","758,418","633,747",0,0,"2,909,002",0,0,0,"18,562,000",0,0,"18,562,000","758,418","1,640,833",2.16x
