N/A,N/A,Lender,Maturity Date,N/A,N/A,N/A,Rate Type,N/A,Current Balance,N/A
,,Lender,Maturity Date,,NR / R,,Floating,,Outstanding,
   TKC II - LabCorp,2,Great West,1-Dec-28,,NR ,,,,"3,358,617",
   TKC VII - RiRa Irish Pub,7,South State Bank,9-Mar-22,,R,,Y,,"467,187",
   TKC VIII - Northwestern,8,Lincoln National Life ,1-Sep-25,,NR,,,,"4,022,711",
   TKC IX - LabCorp,9,Thrivent Financial,15-Jul-31,,NR,,,,"7,570,288",
   TKC XIX - Sonoco,19,N/A,,,,,,,0,
   TKC XXIX - Carolina Sleep Shoppe,29,South State Bank,17-Mar-22,,R,,Y,,"439,811",
   TKC XXXI - Carnegie VII,31,Thrivent Financial,15-Nov-25,,NR,,,,"5,580,039",
"   TKC XXXIV - TSC - Leominster, MA",34,Protective Life,1-Jul-29,,NR,,,,"2,197,768",
   TKC XXXV - American Tire,35,Thrivent Financial,15-Jul-31,,NR,,,,"6,204,990",
   TKC XXXIX - At Home/Dollar Tree - VA,39,Goldman Sachs CMBS,6-May-25,,NR,,,,"6,341,126",
   TKC XLVII - NVR - NJ,47,BBVA Compass,3-Jan-24,,R,,Y,,"4,196,486",
"   TKC XLVIII - TSC - Lebanon, PA",48,Coastal Federal,1-Jan-29,,NR,,,,"2,948,880",
"   TKC XLVIII - TSC - Lycoming, PA",48,First Horizon Bank,10-Oct-24,,R,,Y,,"1,716,875",
   TKC LII - Sterigenics (IBA),52,Ohio National,1-Jun-29,,NR,,,,"2,280,141",
   TKC LVIII - Walgreens - Monroe,58,Sun Life,1-Feb-30,,NR,,,,"1,178,745",
"   TKC LXI - TSC - Salisbury, MD",61,Coastal Federal,1-Jan-29,,NR,,,,"1,822,072",
   TKC LXX - Martin's Crossing,70,N/A,,,,,,,0,
"   TKC LXXXVII - TSC - Shrewsbury, PA",87,First Horizon Bank,5-Aug-21,,R,,Y,,"630,496",
"   TKC XC - TSC - Vineland, NJ",90,Coastal Federal ,25-Apr-25,,NR,,,,"3,811,737",
   TKC XCI - Square D,91,Thrivent Financial,15-Jul-31,,NR,,,,"3,457,187",
   TKC XCV - Freightliner Campus - Gastonia,95,N/A,,,,,,,0,
   TKC XCVII - South State Bank,97,South State Bank,31-Oct-24,,R,,Y,,"960,270",
"   TKC CIII - TSC - Claypool Hill, VA",103,StanCorp,1-Sep-33,,NR,,,,"2,516,560",
"   TKC CV - TSC - Pulaski, VA",105,Truist,1-Mar-23,,R,,Y,,"613,613",
   TKC CXIII - Cargo Integrated,113,Atlantic Union,28-Aug-23,,R,,Y,,"4,860,233",
   TKC CXIV - Lincoln County Land,114,N/A,,,,,,,0,
   TKC CXV - Lincoln County Land,115,N/A,,,,,,,0,
