label,text
State,State KY New Mexico CT Missouri LA DE Colorado AL CO GU WV New York NE CA IN New York NM South Carolina South Carolina Puerto Rico NC 
State,Maryland Colorado ME Ohio New Mexico Connecticut KS Rhode Island 
State,AZ South Carolina AR 
State,Kansas Arkansas Puerto Rico North Dakota 
Address,Street 3094 Fairhaven 233 Caboose 9672 Kirkpatrick 3235 Houndstooth 257 Ridgefield 6721 Fontaine 7015 Okeefe 8783 Toano 9742 King Arthur 2359 Smith Corners 5154 Joh Crosland Jr 2444 Willows Pond 3941 Ratcliff 769 Crows Nest 5205 Rancliffe 671 Leolillie 2796 Pin Oak 9775 Annsdale 5978 Double Cedar 780 Topsfield 323 Edgewood 9179 Pensfold 5967 Helena 2441 Mountain Springs 
State,State District of Columbia Guam Iowa GA 
City,Town Palmerfield Tinnahinch Bald Ridge Blue Oaks Distribution Center Sunrise Community House Flat Rock 
City,Tracy Glenn Saint George Romana Red Country Barn Darrow Laurel Crest Eastbrook Fox Den Elysian Fields 
State,Georgia ME Guam 
Address,Property Location 6112 Julia Maulden Way 176 Fuller Ave. 794 Cindy Woods Drive 8566 Willows Wisp Dr. 
City,Connor Cameron Spring Merrily Ridgevalley Applevalley Henderson E 16th Mintbrook Warehouse 
City,Stonebridge Red Clay Kingsland County Downs Cedarfield Causeway Bellaire Ridge Sorrel Greenhurst Westinghouse Berneway Ranchwood Chelmsford Yandem Gaskill 
City,David Earl Wood Ridge Rea Croft Bagley Lantern Regent Park Northaven Dent English Hills Abney 
City,Chilton Spreading Oak Winnington Gore Carnsore Oberbeck 
Units,6 102 362 968 796 462 413 279 843 872 930 64 852 646 381 987 34 71 727 79 
Address,2388 Brookhurst 6496 Horne 1822 Oak Arbor 4049 Merrie Rose 6527 Grays Ridge 4812 Raven Glen 9263 Cricklewood 541 Broadwick 7514 Executive 3766 Spruce Pine 9535 Mallard Park 2357 Wolf Run 4823 Spratt 
State,Illinois ME NM RI Idaho Mississippi SC NE Florida California Guam Arkansas 
Units,905 72 315 983 462 660 814 438 173 596 381 930 
Address,1153 Morrowood blvd. 7081 Grand Traverse Street 1143 Frosty Dr. 6506 McIntyre rd. 3302 Pine Tree Dr. 3480 Morningsong Boulevard 8418 Oriole Street 4361 David Wellman Way 5014 Cane Creek Road 5910 Canyon Ave. 
Units,Units 871 613 327 571 366 
